URL_LENGTH,TLD,STATE,REGDATE,ZIPCODE,CITY,CONTENT_ENCODING,CONTENT_TYPE,CLASS
44,1,1,0,0,0,0,2,1
70,1,0,0,1,1,1,1,1
52,1,1,0,0,0,0,2,1
52,1,1,0,0,0,0,2,1
51,1,1,0,0,0,0,2,1
22,4,0,0,0,0,1,3,1
29,1,1,1,0,0,1,1,1
82,1,0,0,0,0,1,1,1
82,1,0,0,0,0,1,1,1
70,1,0,0,0,0,1,1,1
67,1,0,0,0,0,1,1,1
71,1,0,0,0,0,1,1,1
85,1,0,0,0,0,1,1,1
43,1,1,0,0,0,0,2,1
38,1,1,0,0,0,0,2,1
38,1,1,0,0,0,0,2,1
39,1,1,0,0,0,0,2,1
43,1,1,0,0,0,0,2,1
42,1,1,0,0,0,0,2,1
39,1,1,0,0,0,0,2,1
56,1,1,0,0,0,0,2,1
56,1,1,0,0,0,0,2,1
94,4,1,0,1,1,1,2,1
61,4,1,0,1,1,1,2,1
28,4,0,0,1,1,0,2,1
94,4,1,0,1,1,1,2,1
58,4,0,0,0,0,1,1,1
35,1,1,0,0,0,0,3,1
61,1,1,0,0,0,0,3,1
50,1,1,0,1,1,0,2,1
250,1,1,0,1,1,0,2,1
44,4,0,1,0,0,1,1,1
30,1,1,0,1,1,0,1,1
38,4,1,0,1,1,1,1,1
65,1,1,0,1,1,0,2,1
255,1,1,0,1,1,0,2,1
86,4,1,0,0,0,0,3,1
34,1,0,0,0,0,1,4,1
240,1,1,0,1,1,0,2,1
31,1,1,0,1,1,0,1,1
31,1,0,0,0,0,1,4,1
30,1,0,0,0,0,1,4,1
30,1,0,0,0,0,1,4,1
83,1,1,0,0,0,0,2,1
42,1,0,0,1,1,0,3,1
59,4,0,0,0,0,1,1,1
44,1,1,0,0,0,1,1,1
35,1,0,0,0,0,1,4,1
55,1,1,1,0,0,0,3,1
49,1,1,0,0,0,0,2,1
39,4,1,0,0,0,1,1,1
43,1,0,0,1,1,0,3,1
46,1,1,0,0,0,0,1,1
84,1,1,0,0,0,0,2,1
84,1,1,0,0,0,0,2,1
83,1,1,0,0,0,0,2,1
